Tournament,slug,startDate,endDate,entrants
#THE Final Smash Invitational,the-final-smash-invitational,12/15/2018,12/16/2018,8
Don't Park on the Grass 2018,don-t-park-on-the-grass-2018-1,12/15/2018,12/17/2018,581
Umebura SP,umebura-sp,12/15/2018,12/16/2018,747
Super Splat Bros,super-splat-bros-1,12/21/2018,12/24/2018,153
Let's Make Moves - A Tristate Smash Ultimate National,let-s-make-moves-a-tristate-smash-ultimate-national-1,12/29/2018,12/29/2018,448
Midwest Mayhem Ultimate,midwest-mayhem-ultimate,12/29/2018,12/29/2018,385
Valhalla II,valhalla-ii,1/3/2019,1/7/2019,238
SoCal Chronicles,socal-chronicles-1,1/5/2019,1/6/2019,512
SMASH CONFERENCE UNITED,smash-conference-united,1/5/2019,1/6/2019,361
Sumabato SP 1,sumabato-sp1,1/6/2019,1/6/2019,306
Umebura SP2,umebura-sp2,1/11/2019,1/12/2019,500
Glitch 6,glitch-6,1/19/2019,1/20/2019,551
Genesis 6,genesis-6,2/1/2019,2/4/2019,2109
Sumabato SP 2,sumabato-sp2,2/2/2019,2/2/2019,303
Heart of Battle,heart-of-battle,2/9/2019,2/10/2019,401
Frostbite 2019,frostbite-2019,2/22/2019,2/24/2019,1239
Tech Republic IV,tech-republic-iv,3/1/2019,3/3/2019,300
2GG X MetaShift: Ultimate Nimbus,2gg-x-metashift-ultimate-nimbus,3/3/2019,3/4/2019,260
Smash Ultimate Summit,summit1,3/8/2019,3/10/2019,16
Collision 2019 - Super Smash Bros. Ultimate Event,collision-2019-super-smash-bros-ultimate-event,3/16/2019,3/17/2019,391
Battle of BC 3,battle-of-bc-3,3/30/2019,4/1/2019,452
Suplex City Smash,suplex-city-smash,4/6/2019,4/6/2019,220
Umebura SP3,sp3-umebura-sp3,4/13/2019,4/13/2019,509
2GG: Prime Saga,2gg-prime-saga-1,4/13/2019,4/15/2019,804
Sumabato SP 3,sumabato-sp3,4/14/2019,4/14/2019,318
Pound 2019,pound-2019,4/19/2019,4/21/2019,802
Regen 2019,regen-2019,4/27/2019,4/28/2019,260
ICARUS V,icarus-v,4/27/2019,4/28/2019,208
Goodwill of Orange County's Charity Invitational,goodwill,4/27/2019,4/28/2019,12
Come To Papa 3,come-to-papa-3,4/27/2019,4/28/2019,499
Umebura Japan Major 2019,japanmajor2019-umebura-japanmajor2019-1,5/1/2019,5/2/2019,1015
BAM11 Battle Arena Melbourne 11,bam11-battle-arena-melbourne-11,5/17/2019,5/19/2019,340
Stunfest 2019 Tournaments,stunfest-2019-tournaments,5/17/2019,5/19/2019,404
Get On My Level 2019 - Canadian Fighting Game Championships,get-on-my-level-2019-canadian-fighting-game-championships,5/17/2019,5/19/2019,847
MomoCon 2019,momocon-2019-1,5/23/2019,5/25/2019,1250
COMBO BREAKER 2019,combo-breaker-2019,5/24/2019,5/26/2019,433
Sumabato SP 4,sumabato-sp4,5/26/2019,5/26/2019,320
DreamHack Dallas 2019,dreamhack-dallas-2019,5/31/2019,6/2/2019,491
Smash'N'Splash 5,smash-n-splash-5,5/31/2019,6/2/2019,1610
The Kid the Goat and the Mang0,the-kid-the-goat-and-the-mang0,6/8/2019,6/10/2019,247
Just Roll With It! 11,just-roll-with-it-11,6/15/2019,6/15/2019,352
SMASH at The Paramount,smash-at-the-paramount,6/15/2019,6/15/2019,235
Sumabato SP 5,sumabato-sp5,6/22/2019,6/22/2019,320
CEO 2019 Fighting Game Championships,ceo-2019-fighting-game-championships,6/28/2019,6/30/2019,1164
